"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",6,"Ansva","Coach","Russia"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",1,"Impact","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",2,"Meteos","Jungle","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",3,"Jensen","Mid","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",4,"Sneaky","Bot","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",5,"Smoothie","Support","Canada"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Cloud9",6,"Reapered","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",1,"Darshan","Top","Canada"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",2,"Xmithie","Jungle","Philippines"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",3,"Huhi","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",4,"Stixxay","Bot","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",5,"aphromoo","Support","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Counter Logic Gaming",6,"Zikzlol","Coach","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",1,"Mouse","Top","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",2,"Koro1","Top","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",3,"Clearlove","Jungle","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",4,"PawN","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",5,"Scout","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",6,"Deft","Bot","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",7,"Meiko","Support","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","EDward Gaming",8,"RapidStar","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",1,"MMD","Top","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",2,"Karsa","Jungle","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",3,"Maple (Huang Yi-Tang)","Mid","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",4,"NL (Hsiung Wen-An)","Bot","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",5,"SwordArt","Support","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Flash Wolves",6,"Fluidwind","Coach","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",1,"Expect","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",2,"Trick","Jungle","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",3,"Perkz","Mid","Croatia"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",4,"Zven","Bot","Denmark"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",5,"mithy","Support","Spain"
"Worlds 2016","Worlds 2016","2016 Season World Championship","G2 Esports",6,"YoungBuck","Coach","Netherlands"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",1,"Odoamne","Top","Romania"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",2,"Jankos","Jungle","Poland"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",3,"Ryu","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",4,"FORG1VEN","Bot","Greece"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",5,"Vander","Support","Poland"
"Worlds 2016","Worlds 2016","2016 Season World Championship","H2k-Gaming",6,"pr0lly","Coach","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",1,"AmazingJ","Top","Hong Kong"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",2,"Avoidless","Jungle","Hong Kong"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",3,"Athena","Mid,Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",4,"BaeMe","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",5,"Jinjiao","Bot","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",6,"Road (Yun Han-gil)","Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","I May",7,"Kezman","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",1,"Yang (Felipe Zhao)","Top","Brazil"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",2,"Revolta","Jungle","Brazil"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",3,"tockers","Mid","Brazil"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",4,"micaO","Bot","Brazil"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",5,"Jockster","Support","Brazil"
"Worlds 2016","Worlds 2016","2016 Season World Championship","INTZ",6,"Abaxial","Coach","United States"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",1,"Smeb","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",2,"Peanut","Jungle","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",3,"Kuro","Mid","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",4,"PraY","Bot","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",5,"GorillA","Support","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ROX Tigers",6,"NoFe","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",1,"Looper","Top","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",2,"Mlxg","Jungle","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",3,"Xiaohu","Mid","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",4,"Uzi (Jian Zi-Hao)","Bot","China"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Royal Never Give Up",5,"Mata","Support","South Korea"
